timestamp,06/09/2021 10:33,,,,,,,,,,,,,,,,,
site-id,SPENF,,,,,,,,,,,,,,,,,
site-name,Spen Farm,,,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
27/12/2016,33.8,0,5.5,84.5,4.3,1.4,6.1,1034.9,-4.4,233.5,2.2,0.1,3.3,28.4,3.4,29.5,,0.166
28/12/2016,34.2,0,4.4,95.2,-0.6,-2.9,2.2,1033.8,-2.2,148.9,1.3,0.3,1.4,27.7,1.4,29.3,,0.172
29/12/2016,36.4,0,4.6,94.3,0,-4,4.2,1028.1,0.4,176.2,3.7,0.4,0.9,,1,,,0.209
30/12/2016,37.4,0,6.2,90.9,5.1,0.8,9.4,1025.2,-1.9,156,1.7,0.3,1.3,,1.5,,,0.151
31/12/2016,35.2,0.1,6.9,77.1,9.2,7.1,10.7,1018.2,-1.1,235.7,3.7,0.6,4.3,27.3,4.5,28.9,,0.131
01/01/2017,37.8,6.9,5.8,88.8,4.2,2,8.9,1013.3,-2,338.1,4,0.3,4.4,31.3,4.4,35.5,,0.159
02/01/2017,36.3,0,4.3,77.8,2.1,0.3,4.2,1022.5,-3.9,300.7,3,0.5,1.7,29.9,1.8,30.7,,0.169
03/01/2017,37.2,0.4,5.8,81.4,5.8,1.7,7.4,1016.7,-2.2,279.2,5.1,0.4,2.7,28.9,2.9,29.9,,0.135
04/01/2017,33.8,0,4.9,71.3,5,1.6,7.4,1019,-1.9,321.5,3.9,0.9,3.7,28.7,3.7,29.8,,0.172
05/01/2017,31.7,0,4.1,76.5,1.5,-0.5,5.9,1027.3,-3.3,263.7,1.7,0.4,1.3,28.3,1.4,29.5,,0.164
06/01/2017,36.3,1.8,5.5,87.8,3.6,0.5,7.2,1024.5,-0.3,183,2.9,0.3,1.7,,1.9,,,0.133
07/01/2017,36.8,0,7.9,93.1,8.5,6.7,10.2,1023.9,-0.6,273.4,1.9,0,5,29.1,5.1,30.3,,0.119
08/01/2017,35.7,0,7.2,92.9,7,5,8.7,1023.5,-1,216.2,1.6,0.1,4.8,29,4.9,30.2,,0.118
09/01/2017,36.9,1,6.5,84,6.9,4.9,9.9,1006.4,-2,224.3,4.1,0.5,5.3,30.1,5.3,31.4,,0.151
10/01/2017,35.6,0.1,6.5,79.4,7.9,6.1,9.4,999.7,-1.4,265.1,5,0.6,5.3,29.9,5.4,30.9,,0.136
11/01/2017,35.6,1.8,5.5,69.2,7.1,4.9,11.7,997.9,-2.9,278,8.3,1.5,5.2,28.9,5.3,30,,0.161
