date,mean,std,mean_savgol
2018-04-20 11:00:00,0.6264080100125157,0.059109668987905095,0.6100572721453125
2018-05-05 11:00:00,0.7186544342507644,0.07017144571151226,0.6892523428834052
2018-05-07 11:00:00,0.7032136105860113,0.0633885567987386,0.7409629367933129
2018-05-10 11:00:00,0.7167640957948332,0.0820979672026639,0.7651890538750354
2018-05-15 11:00:00,0.7523546979094877,0.05759308822649679,0.7619306941285722
2018-05-20 11:00:00,0.729652546406473,0.11626443657815068,0.7109274685595365
2018-05-22 11:00:00,0.7102473498233215,0.09365043131863988,0.689882039376053
2018-05-27 11:00:00,0.6875852660300137,0.12378221820746466,0.5954539150258651
2018-06-01 11:00:00,0.38796193149818675,0.013788758228626664,0.538994270430512
2018-06-11 11:00:00,0.6076240552086757,0.10104945766847888,0.5170406265582831
2018-06-19 11:00:00,0.348522916853332,0.027437754723818295,0.5291839128928195
2018-06-21 11:00:00,0.7064288368636195,0.1276962004748915,0.5788337125354777
2018-06-24 11:00:00,0.662910092662159,0.12815186868333356,0.6545117774992126
2018-06-26 11:00:00,0.6881746222115616,0.12110212089638327,0.6706564797431669
2018-06-29 11:00:00,0.6956989247311829,0.12283191673148434,0.7060166964771373
2018-07-01 11:00:00,0.659724100622126,0.09876581751799202,0.6626727281724929
2018-07-04 11:00:00,0.6451612903225806,0.10216260009224151,0.6652961765219321
2018-07-06 11:00:00,0.6417610062893083,0.10206113551282953,0.6497391002006565
2018-07-11 11:00:00,0.6339700567888487,0.0733419561433293,0.6141244278444529
2018-07-14 11:00:00,0.6400752081654579,0.07590435606338214,0.5809199515278158
2018-07-31 11:00:00,0.5329890992541595,0.19014146877306376,0.5830249054658032
2018-08-13 11:00:00,0.489971346704871,0.11916173448466265,0.5557199222488943
2018-08-15 11:00:00,0.5806938159879336,0.12118856329678981,0.5485793428633225
2018-08-30 11:00:00,0.6682404784387787,0.1286861837534496,0.5743646187414061
2018-09-07 11:00:00,0.4739829706717123,0.10882352864801811,0.597103856191219
2018-09-09 11:00:00,0.6540265651953929,0.11281486624339415,0.6197945353582859
2018-09-12 11:00:00,0.6742147552958363,0.15154351217413067,0.6180157541162354
2018-09-24 11:00:00,0.5607476635514019,0.10357685990921173,0.6092022946615812
2018-09-27 11:00:00,0.6616740088105726,0.13747081869857386,0.6236099858498425
2018-09-29 11:00:00,0.5929521754764473,0.09704255903141369,0.6114557613963487
2018-10-09 11:00:00,0.5889328063241107,0.07251681632468887,0.6389949880526862
2018-10-19 11:00:00,0.665538907684872,0.10353171772963565,0.6468904030995095
2018-10-24 11:00:00,0.7175085826385483,0.1267549391245526,0.6951268219525724
2018-11-03 11:00:00,0.7069243156199679,0.16710032710179834,0.687379906319005
2018-11-18 11:00:00,0.5940347970173986,0.09724184915873967,0.6602383042771629
2018-12-16 11:00:00,0.803921568627451,0.11217455794112913,0.5987799955912742
2018-12-28 11:00:00,0.36516853932584264,0.12102734660091848,0.5744604294463693
2018-12-31 11:00:00,0.5695952615992103,0.09730000350593677,0.5680365906625627
2019-01-17 11:00:00,0.5365418894830659,0.12053021480325146,0.5693135597592134
2019-01-30 11:00:00,0.6797536566589684,0.11346860284426215,0.5291903992839071
2019-02-04 11:00:00,0.5453712190650779,0.11718540317441753,0.5510406822655602
2019-02-11 11:00:00,0.47864945382323726,0.08491081856565438,0.5332966771875869
2019-02-24 11:00:00,0.40960451977401124,0.06133181800217588,0.48957259518650365
2019-02-26 11:00:00,0.5300859598853869,0.07937886824077517,0.47311939352291427
2019-03-11 11:00:00,0.5746180963572267,0.08139992144787189,0.5007147159055283
2019-03-13 11:00:00,0.3521885521885521,0.07132924844618536,0.47118132102915966
2019-03-18 11:00:00,0.5907859078590786,0.100757280304242,0.4465002267120161
2019-03-21 11:00:00,0.43650324867099816,0.02512156789499578,0.47173173494785525
2019-03-26 11:00:00,0.29784575595881174,0.07362230515448376,0.5136008131260151
2019-03-28 11:00:00,0.5913190529875986,0.07880176155892232,0.572107461246496
2019-04-05 11:00:00,0.734678044996121,0.05922694453307622,0.6472516793092983
